station_id,timestamp,available_bikes,total_docks,latitude,longitude
ST_001,2025-08-20 15:57:18.207811,0,10,46.93483969887553,7.422583008537564
ST_002,2025-08-20 15:57:18.207811,11,13,46.95237010989749,7.443139065764417
ST_003,2025-08-20 15:57:18.207811,10,17,46.922526954210106,7.448318551764052
ST_004,2025-08-20 15:57:18.207811,10,15,46.928308931865224,7.436105621872658
ST_005,2025-08-20 15:57:18.207811,14,17,46.94187567312601,7.459530509003302
ST_006,2025-08-20 15:57:18.207811,14,30,46.93736455012934,7.466840096723251
ST_007,2025-08-20 15:57:18.207811,10,10,46.90291984238362,7.46753899214566
ST_008,2025-08-20 15:57:18.207811,12,25,46.96125261341675,7.454267368439001
ST_009,2025-08-20 15:57:18.207811,9,24,46.94077743171285,7.442351088773981
ST_010,2025-08-20 15:57:18.207811,22,26,46.935855211611305,7.465170988414896
ST_011,2025-08-20 15:57:18.207811,6,15,46.945258104444164,7.451216430237773
ST_012,2025-08-20 15:57:18.207811,11,24,46.940429451757396,7.437325382284425
ST_013,2025-08-20 15:57:18.207811,8,15,46.95996680420238,7.461276901742271
ST_014,2025-08-20 15:57:18.207811,13,20,46.965809922085135,7.493569370629231
ST_015,2025-08-20 15:57:18.207811,4,20,46.951835618192796,7.458891586421218
ST_001,2025-08-20 16:57:18.207811,6,29,46.94634453290788,7.4445007253194335
ST_002,2025-08-20 16:57:18.207811,13,17,46.96672477843758,7.463859104592987
ST_003,2025-08-20 16:57:18.207811,6,17,46.93104516978632,7.44713089803055
ST_004,2025-08-20 16:57:18.207811,20,28,46.972777173638775,7.488494739190667
ST_005,2025-08-20 16:57:18.207811,11,14,46.97136605391079,7.450308620521851
ST_006,2025-08-20 16:57:18.207811,5,10,46.964008463569854,7.444359469254212
ST_007,2025-08-20 16:57:18.207811,13,20,46.96472814057735,7.440693225847587
ST_008,2025-08-20 16:57:18.207811,2,15,46.936460173979064,7.437739658004816
ST_009,2025-08-20 16:57:18.207811,12,24,46.9236261088825,7.445204521792975
ST_010,2025-08-20 16:57:18.207811,7,25,46.93576864571118,7.472125935453934
ST_011,2025-08-20 16:57:18.207811,9,20,46.96553806733829,7.454220688985569
ST_012,2025-08-20 16:57:18.207811,8,26,46.946296466150464,7.4495540142589185
ST_013,2025-08-20 16:57:18.207811,0,11,46.94175734957872,7.465087861629381
ST_014,2025-08-20 16:57:18.207811,7,14,46.97806074696641,7.411372500191524
ST_015,2025-08-20 16:57:18.207811,0,11,46.972696916755986,7.449860454448739
ST_001,2025-08-20 17:57:18.207811,10,17,46.952443322256734,7.426433688144784
ST_002,2025-08-20 17:57:18.207811,13,23,46.94233833991465,7.463249237636452
ST_003,2025-08-20 17:57:18.207811,12,12,46.95252535693562,7.442091865575122
ST_004,2025-08-20 17:57:18.207811,19,25,46.9365758352639,7.435101667815366
ST_005,2025-08-20 17:57:18.207811,6,12,46.92596639775991,7.441264332665892
ST_006,2025-08-20 17:57:18.207811,10,18,46.89870855167397,7.45076451931321
ST_007,2025-08-20 17:57:18.207811,9,23,46.96704761583803,7.471513600571668
ST_008,2025-08-20 17:57:18.207811,10,10,46.957182915465495,7.436135437196182
ST_009,2025-08-20 17:57:18.207811,14,28,46.93623635810288,7.46471394537353
ST_010,2025-08-20 17:57:18.207811,22,22,46.956268387296625,7.468306105315771
ST_011,2025-08-20 17:57:18.207811,18,22,46.945530537301266,7.420462122604082
ST_012,2025-08-20 17:57:18.207811,14,22,46.95246452959664,7.460638464737911
ST_013,2025-08-20 17:57:18.207811,0,11,46.94923506978569,7.421152833433051
ST_014,2025-08-20 17:57:18.207811,11,12,46.929728788020945,7.454977001647886
ST_015,2025-08-20 17:57:18.207811,9,15,46.97549336570944,7.43651210784251
